,Vertex,Edge,inputEncode,outputDecode,inputEdgeEncode,vertexFeatures,vertexHiddenLayout,feedThroughVertexFeatures,edgeMLP,edgeFeatures,edgeHiddenLayout,feedThroughEdgeFeatures,messagelayout,parameters,seed,file,entry,r2,l2,psnr,min,max,q1,q3,std
14,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,376563683,perlin_37078787,2,0.00016799790149102378,0.059718635,10.80473453157396,5.136185e-07,0.7221402,0.004539805115200579,0.05651593208312988,0.12974907
15,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,376563683,perlin_37078787,3,-3.43833586411435e-05,0.048899848,11.831400846290318,5.2782127e-07,0.74894327,0.0063238764414563775,0.03736635763198137,0.10780127
0,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,276731990,perlin_433611252,0,-8.32068702827371e-09,0.23548523,5.943777466716837,1.2741293e-10,0.9254322,0.004469863954000175,0.3946412354707718,0.30500653
1,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,276731990,perlin_433611252,1,-5.3252379839108244e-08,0.06362339,7.555714268218465,6.8308883e-09,0.36239582,0.005253695999272168,0.09129830449819565,0.08744794
2,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,276731990,perlin_433611252,2,-2.130478016226789e-10,0.14642455,7.042064385498713,5.9448265e-08,0.7409976,0.027570107020437717,0.21561255678534508,0.14418139
3,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,276731990,perlin_433611252,3,1.5075208859016698e-08,0.13454828,9.902167806375722,6.286874e-07,1.3155203,0.02977440133690834,0.08653653971850872,0.23429917
4,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,276731990,perlin_960745502,0,7.069841156948087e-09,0.23130774,4.656406648240747,5.093013e-10,0.6758139,0.07428634911775589,0.34266795963048935,0.17305584
5,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,276731990,perlin_960745502,1,1.2174172114853832e-08,0.16715237,3.5924469075784087,1.260669e-06,0.38225424,0.03670672234147787,0.2808149680495262,0.124452084
6,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,276731990,perlin_960745502,2,1.553302642065546e-08,0.039177053,6.690990718549327,2.2588498e-09,0.1828681,0.004075134871527553,0.05973811633884907,0.047034305
7,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,276731990,perlin_960745502,3,-1.1192188242858947e-07,0.019442521,10.763826785834695,1.2561571e-09,0.23180827,0.0010656073573045433,0.013475429033860564,0.04171645
8,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,276731990,perlin_759352143,0,-4.116642360330047e-09,0.13353801,6.565811203829657,4.53005e-11,0.6055948,0.019106939900666475,0.21195079386234283,0.15884762
9,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,276731990,perlin_759352143,1,2.6604519143269556e-08,0.0818358,9.155544090148698,5.662696e-08,0.6737426,0.009376265341416001,0.08379899710416794,0.13593185
