,Vertex,Edge,inputEncode,outputDecode,inputEdgeEncode,vertexFeatures,vertexHiddenLayout,feedThroughVertexFeatures,edgeMLP,edgeFeatures,edgeHiddenLayout,feedThroughEdgeFeatures,messagelayout,parameters,seed,file,entry,r2,l2,psnr,min,max,q1,q3,std
9,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,843395704,perlin_759352143,1,0.008184922860475008,0.081165984,9.191236906394707,5.09036e-09,0.6712508,0.008711033733561635,0.08269454911351204,0.13547765
10,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,843395704,perlin_759352143,2,0.006671808732766071,0.057814784,4.9814547809768674,6.0658727e-09,0.18075022,0.012843977427110076,0.09751050919294357,0.05278574
11,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,843395704,perlin_759352143,3,0.014529569703181311,0.035380293,7.642384300787022,1.4966488e-08,0.20421039,0.004612540593370795,0.04447073582559824,0.042997964
12,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,843395704,perlin_37078787,0,0.016912920686355304,0.156182,9.223596867727213,4.8142037e-09,1.309626,0.01708413241431117,0.12465059012174606,0.27553895
13,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,843395704,perlin_37078787,1,0.02119440982131804,0.10468279,8.062824490916352,9.003341e-09,0.6726234,0.012108074268326163,0.152338694781065,0.13471587
14,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,843395704,perlin_37078787,2,0.02234950445708639,0.05839376,10.90216838001144,5.9311695e-08,0.72134334,0.0046017448185011744,0.0566333532333374,0.12772152
15,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,843395704,perlin_37078787,3,0.008038769035976112,0.048505083,11.866603172473141,6.632375e-08,0.7481318,0.005992229678668082,0.03541497886180878,0.10765568
0,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,37626750,perlin_433611252,0,6.0158754463190967e-05,0.23547107,5.944039144418846,8.0882206e-10,0.9303649,0.004400203702971339,0.3942550793290138,0.30609465
1,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,37626750,perlin_433611252,1,2.4410366591842703e-05,0.063621834,7.555820994439511,1.4982102e-10,0.36056158,0.005325717153027654,0.0913866925984621,0.087168366
2,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,37626750,perlin_433611252,2,4.227447469651313e-05,0.14641836,7.042247574620126,6.9701365e-08,0.73837376,0.02834978559985757,0.21693633496761322,0.14383568
3,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,37626750,perlin_433611252,3,0.0001672626935068644,0.13452576,9.902894966697273,5.3745216e-06,1.3081735,0.03004199219867587,0.08566741459071636,0.23407175
4,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,37626750,perlin_960745502,0,6.23842143234743e-05,0.23129329,4.6566780266571115,7.071212e-08,0.6733082,0.07480882294476032,0.34413858503103256,0.17261961
5,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,37626750,perlin_960745502,1,3.451804568299632e-05,0.16714661,3.592596856182595,5.597752e-08,0.38037035,0.036732287146151066,0.281159907579422,0.124251984
6,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,37626750,perlin_960745502,2,-5.956926914740812e-05,0.039179392,6.690731912096304,1.2062666e-08,0.18417503,0.004002393456175923,0.058994777500629425,0.04726098
7,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,37626750,perlin_960745502,3,-0.00012731241290020456,0.019444993,10.763274407670131,1.25920625e-08,0.23034175,0.0010132598981726915,0.013588461326435208,0.041628245
8,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,37626750,perlin_759352143,0,0.00014735484817207656,0.13351832,6.566452019666635,2.1445528e-09,0.61503994,0.019305857364088297,0.2106831632554531,0.15940253
9,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,37626750,perlin_759352143,1,0.00018664758741238074,0.08182052,9.156354559679142,6.9701365e-08,0.67124075,0.009387716883793473,0.08308122679591179,0.135992
10,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,37626750,perlin_759352143,2,6.335673706880929e-05,0.058199413,4.9526579207888055,5.150973e-09,0.1832258,0.013322718441486359,0.09859795682132244,0.05286024
11,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,37626750,perlin_759352143,3,-4.576308738601931e-05,0.035903573,7.578621636267585,1.3508057e-08,0.20420486,0.005115846055559814,0.045466454699635506,0.043032188
12,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,37626750,perlin_37078787,0,0.00015149085089549708,0.15884487,9.150174894836889,5.6999325e-09,1.3048257,0.017120190896093845,0.12792431935667992,0.2808332
13,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,37626750,perlin_37078787,1,0.00014764553879131892,0.106933735,7.970429887341312,4.2007315e-08,0.67263347,0.012515648500993848,0.15226390957832336,0.1383311
